x,y,z
0.0,0.0,-0.026465190746753506
-0.10248921439051628,0.11082779243588448,-0.030816019376177815
-0.2024892158806324,0.2108277939260006,-0.033266595761830706
-0.3024892173707485,0.3108277954161167,-0.034945432733871226
-0.40248921886086464,0.41082779690623283,-0.036624269705911754
-0.5024892203509808,0.510827798396349,-0.0383031066779523
-0.6024892218410969,0.6108277998864651,-0.03998194364999283
-0.702489223331213,0.7108278013765812,-0.04166078062203337
-0.8024892248213291,0.8108278028666973,-0.043339617594073905
-0.9024892263114452,0.9108278043568134,-0.04501845456611444
-1.0024892278015614,1.0108278058469296,-0.04669729153815498
-1.1024892292916775,1.1108278073370457,-0.04837612851019551
-1.1024892292916775,1.2108278088271618,-0.0480122680839283
-1.2024892307817936,1.310827810317278,-0.0548918643858398
-1.2024892307817936,1.410827811807394,-0.06094062082808728
-1.2024892307817936,1.5108278132975101,-0.0633157211302566
-1.2024892307817936,1.6108278147876263,-0.06569082143242592
-1.2024892307817936,1.7108278162777424,-0.06806592173459525
-1.2024892307817936,1.8108278177678585,-0.07044102203676461
-1.2024892307817936,1.9108278192579746,-0.07281612233893393
-1.2024892307817936,2.0108278207480907,-0.07519122264110324
-1.2024892307817936,2.110827822238207,-0.07756632294327256
-1.2024892307817936,2.210827823728323,-0.0799414232454419
-1.2024892307817936,2.310827825218439,-0.08231652354761126
-1.2024892307817936,2.410827826708555,-0.08469162384978059
-1.2024892307817936,2.5108278281986713,-0.08620979810846706
-1.2024892307817936,2.6108278296887875,-0.08579962408017346
-1.2024892307817936,2.7108278311789036,-0.08538945005187985
-1.2024892307817936,2.8108278326690197,-0.08498890936456342
-1.2024892307817936,2.910827834159136,-0.08460610001480877
-1.2024892307817936,3.010827835649252,-0.08422329066505413
-1.2024892307817936,3.110827837139368,-0.08384048131529948
-1.2024892307817936,3.210827838629484,-0.08345767196554482
-1.2024892307817936,3.3108278401196003,-0.08307486261579017
-1.2024892307817936,3.4108278416097164,-0.08269205326603551
-1.2024892307817936,3.5108278430998325,-0.08230924391628086
-1.2024892307817936,3.6108278445899487,-0.0828824528698904
-1.2024892307817936,3.7108278460800648,-0.08536547580853113
-1.2024892307817936,3.810827847570181,-0.08786534259425313
-1.2024892307817936,3.910827849060297,-0.09043032961518324
-1.2024892307817936,4.010827850550413,-0.09300320858404287
-1.2024892307817936,4.110827852040529,-0.0955760875529025
-1.2024892307817936,4.210827853530645,-0.09814896652176214
-1.2024892307817936,4.3108278550207615,-0.10072184549062183
-1.2024892307817936,4.410827856510878,-0.10329472445948144
-1.2024892307817936,4.510827858000994,-0.10586760342834109
-1.2024892307817936,4.61082785949111,-0.10844048239720072
-1.2024892307817936,4.710827860981226,-0.11101336136606037
-1.2024892307817936,4.810827862471342,-0.11358624033492003
-1.2024892307817936,4.910827863961458,-0.11615911930377967
-1.2024892307817936,5.010827865451574,-0.11873199827263928
-1.2024892307817936,5.1108278669416904,-0.11840996458679988
-1.2024892307817936,5.210827868431807,-0.11801997364908125
-1.2024892307817936,5.310827869921923,-0.1172981040574596
-1.2024892307817936,5.410827871412039,-0.11469751379232457
-1.2024892307817936,5.510827872902155,-0.11209692352718956
-1.2024892307817936,5.610827874392271,-0.10949633326205455
-1.2024892307817936,5.710827875882387,-0.10689574299691952
-1.2024892307817936,5.810827877372503,-0.10429515273178445
-1.2024892307817936,5.910827878862619,-0.10169456246664949
-1.2024892307817936,6.0108278803527355,-0.09909397220151442
-1.2024892307817936,6.110827881842852,-0.09649338193637935
-1.2024892307817936,6.210827883332968,-0.09389279167124438
-1.2024892307817936,6.310827884823084,-0.09129220140610933
-1.2024892307817936,6.4108278863132,-0.08869161114097436
-1.2024892307817936,6.510827887803316,-0.08609102087583928
-1.2024892307817936,6.610827889293432,-0.08349043061070423
-1.2024892307817936,6.710827890783548,-0.0816588268540094
-1.2024892307817936,6.8108278922736645,-0.08188750454108738
-1.2024892307817936,6.910827893763781,-0.08399154079769236
-1.2024892307817936,7.010827895253897,-0.0860955770542974
