ROAR World Dataset
==================================================
Dataset name            : world1
Naming mode             : custom
Base world              : /home/omar/new_sim_tes/ROAR-26-Simulation/navMission_setup/world_setup/initial_inputs/i_world/marsyard.world
Base heightmap          : /home/omar/new_sim_tes/ROAR-26-Simulation/navMission_setup/world_setup/initial_inputs/i_heightmap/marsyard_heightmap.npz
Requested density       : 0.0
Requested collidable    : 0.0
Rock spacing            : 2.0
Minimum roughness       : 0.02
Minimum terrain height  : 0.15
Dead-end generation     : False
Target rock count       : 0
Rock seed               : 1
Corridor width          : 4.0
Corridor center X       : 0.0
Dead-end count          : 0
Heightmap resolution    : 0.25
Gradient scale          : 150.0
Stability scale         : 90.0
ArUco count             : 15
ArUco ID start          : 1
ArUco seed              : 101
ArUco marker size       : 0.21
Obstacle data           : /home/omar/new_sim_tes/ROAR-26-Simulation/navMission_setup/outputs/world1/obstacle_data.npy
ArUco GT YAML           : /home/omar/new_sim_tes/ROAR-26-Simulation/navMission_setup/outputs/world1/aruco_data.yaml
ArUco GT NPY            : /home/omar/new_sim_tes/ROAR-26-Simulation/navMission_setup/outputs/world1/aruco_data.npy
Generated world         : /home/omar/new_sim_tes/ROAR-26-Simulation/navMission_setup/outputs/world1/world1.world
Generated heightmap     : /home/omar/new_sim_tes/ROAR-26-Simulation/navMission_setup/outputs/world1/heightmap.npz
Generated costmap       : /home/omar/new_sim_tes/ROAR-26-Simulation/navMission_setup/outputs/world1/costmap.npz
