x,y
22.1,23.05
21.900000000000002,23.25
21.700000000000003,23.3
21.5,23.3
21.3,23.200000000000003
21.150000000000002,23.0
21.0,22.8
20.8,22.700000000000003
20.6,22.55
20.400000000000002,22.400000000000002
20.3,22.200000000000003
20.150000000000002,22.0
19.950000000000003,21.8
19.8,21.6
19.6,21.6
19.400000000000002,21.6
19.200000000000003,21.5
19.0,21.400000000000002
18.8,21.200000000000003
18.6,21.25
18.400000000000002,21.200000000000003
18.2,21.150000000000002
18.0,21.150000000000002
17.8,21.1
17.6,21.0
17.400000000000002,20.950000000000003
17.2,20.85
17.0,20.700000000000003
16.8,20.6
16.6,20.400000000000002
16.400000000000002,20.450000000000003
16.2,20.35
16.0,20.150000000000002
15.850000000000001,19.950000000000003
15.65,19.75
15.55,19.55
15.600000000000001,19.35
15.700000000000001,19.150000000000002
15.65,18.95
15.450000000000001,18.8
15.450000000000001,18.6
15.5,18.400000000000002
15.4,18.2
15.350000000000001,18.0
15.450000000000001,17.8
15.4,17.6
15.5,17.400000000000002
15.65,17.2
15.600000000000001,17.0
15.5,16.8
15.600000000000001,16.6
15.65,16.400000000000002
15.700000000000001,16.2
15.65,16.0
15.600000000000001,15.8
15.65,15.600000000000001
15.700000000000001,15.4
15.700000000000001,15.200000000000001
15.75,15.0
15.8,14.8
16.0,14.600000000000001
16.1,14.4
16.150000000000002,14.200000000000001
16.150000000000002,14.0
16.150000000000002,13.8
16.2,13.600000000000001
16.25,13.4
16.3,13.200000000000001
16.5,13.0
16.650000000000002,12.8
16.75,12.600000000000001
16.95,12.4
17.05,12.200000000000001
17.2,12.0
17.400000000000002,11.8
17.6,11.65
17.7,11.450000000000001
17.900000000000002,11.350000000000001
18.1,11.200000000000001
18.3,11.05
18.45,10.850000000000001
18.6,10.65
18.75,10.450000000000001
18.7,10.25
18.7,10.05
18.75,9.850000000000001
18.55,9.65
18.55,9.450000000000001
18.55,9.25
18.7,9.35
18.900000000000002,9.55
19.1,9.75
19.25,9.950000000000001
19.450000000000003,10.15
19.650000000000002,10.3
19.85,10.4
20.05,10.600000000000001
20.25,10.700000000000001
20.450000000000003,10.850000000000001
20.650000000000002,11.05
20.85,11.15
21.05,11.200000000000001
21.25,11.4
21.400000000000002,11.600000000000001
21.5,11.8
21.700000000000003,12.0
21.900000000000002,12.200000000000001
22.1,12.3
22.3,12.4
22.5,12.5
22.700000000000003,12.5
22.900000000000002,12.5
23.1,12.5
23.3,12.5
23.5,12.350000000000001
23.650000000000002,12.450000000000001
23.75,12.65
23.75,12.850000000000001
23.75,13.05
23.75,13.25
23.700000000000003,13.450000000000001
23.650000000000002,13.65
23.650000000000002,13.850000000000001
23.55,14.05
23.6,14.25
23.700000000000003,14.450000000000001
23.75,14.65
23.950000000000003,14.850000000000001
23.900000000000002,15.05
23.8,15.25
23.8,15.450000000000001
23.75,15.65
23.700000000000003,15.850000000000001
23.85,16.05
24.0,16.25
24.0,16.45
24.0,16.650000000000002
24.0,16.85
23.8,16.95
23.6,17.1
23.5,17.3
23.3,17.5
23.200000000000003,17.55
23.150000000000002,17.75
23.05,17.95
23.05,18.150000000000002
23.05,18.35
23.1,18.55
22.950000000000003,18.7
22.8,18.900000000000002
22.700000000000003,19.1
22.650000000000002,19.3
22.5,19.5
22.450000000000003,19.700000000000003
22.450000000000003,19.900000000000002
22.55,20.1
22.5,20.3
22.450000000000003,20.5
22.3,20.700000000000003
22.25,20.900000000000002
22.200000000000003,21.1
22.200000000000003,21.3
22.200000000000003,21.5
22.150000000000002,21.700000000000003
22.3,21.900000000000002
22.35,22.1
22.450000000000003,22.3
22.5,22.5
22.55,22.700000000000003
22.35,22.85
22.150000000000002,23.05
22.1,23.05
